SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER100_FG,PER100_FGA,PER100_FG%,PER100_2P,PER100_2PA,PER100_2P%,PER100_3P,PER100_3PA,PER100_3P%,PER100_FT,PER100_FTA,PER100_FT%,PER100_TRB,PER100_AST,PER100_STL,PER100_BLK,PER100_TOV,PER100_PF,PER100_PTS,PER100_ORtg,PER100_DRtg,PLAYER,SPORTS_REF_ID
2011-12,New Mexico,MWC,34,1,523,4.6,10.4,0.444,4.6,10.3,0.449,0,0.1,0,5.2,8.2,0.634,14.2,1.3,1.5,2.2,3.7,9.2,14.4,102.3,90.5,Cameron Bairstow,cameron-bairstow-1
2012-13,New Mexico,MWC,35,19,844,7.9,17.4,0.456,7.9,17.4,0.456,0,0,,9.1,12.3,0.738,15.2,2.3,1.8,1.5,3.2,6.2,24.9,111.9,93.4,Cameron Bairstow,cameron-bairstow-1
2013-14,New Mexico,MWC,34,34,1119,12.9,23.2,0.556,12.9,23.1,0.558,0.1,0.2,0.333,11.9,16.2,0.735,13.7,2.9,1,2.8,3.7,3.9,37.8,122.9,99.6,Cameron Bairstow,cameron-bairstow-1
Career,New Mexico,,134,55,2787,9.2,17.7,0.517,9.1,17.6,0.519,0,0.1,0.333,8.8,12.2,0.717,13.9,2.2,1.4,2.2,3.4,6.2,27.1,116.3,96.1,Cameron Bairstow,cameron-bairstow-1
2013-14,Murray State,OVC,34,34,1111,10,24.7,0.404,6.2,13.6,0.456,3.8,11.1,0.341,6.3,8.2,0.774,6.5,9.7,3,1.1,5.8,5.1,30.1,108.5,103.8,Cameron Payne,cameron-payne-1
2014-15,Murray State,OVC,35,35,1127,12.9,28.3,0.456,8.5,16.5,0.513,4.4,11.7,0.377,7,8.9,0.787,6.8,11,3.6,0.9,4.6,3.8,37.2,122.5,99,Cameron Payne,cameron-payne-1
Career,Murray State,,69,69,2238,11.4,26.5,0.432,7.3,15.1,0.487,4.1,11.4,0.359,6.7,8.5,0.781,6.6,10.4,3.3,1,5.2,4.4,33.7,115.7,101.4,Cameron Payne,cameron-payne-1
2013-14,Tulane,CUSA,34,1,603,4.2,16,0.261,1.6,6,0.263,2.6,10,0.26,2.6,4.8,0.543,7.3,1.7,1,0.6,2.6,5.3,13.6,79.3,111.9,Cameron Reynolds,cameron-reynolds-1
2014-15,Tulane,AAC,9,0,119,11.1,24.8,0.447,8.5,15.8,0.533,2.6,9,0.294,0,2.1,0,13.7,5.8,2.1,0,3.2,8.5,24.8,103.3,97.6,Cameron Reynolds,cameron-reynolds-1
2015-16,Tulane,AAC,30,8,617,7,20,0.349,4.7,11.4,0.412,2.3,8.6,0.267,2.7,3.2,0.824,9.8,1.6,1.7,0.7,3.6,6.3,18.9,88.7,103.6,Cameron Reynolds,cameron-reynolds-1
2016-17,Tulane,AAC,31,29,1090,9.5,22.4,0.424,5.5,12,0.455,4,10.4,0.388,4.2,5.3,0.796,10.8,2.3,1.3,0.7,2.4,4.3,27.3,111.6,110.1,Cameron Reynolds,cameron-reynolds-1
