SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,PLAYER,SPORTS_REF_ID
Career,Purdue,,127,120,3830,26.7,0.577,0.525,0.422,0.353,928,5.9,22.7,13.7,13.8,1.6,3.2,8.2,24.2,12.8,9.3,22.2,0.232,6,2.1,8.1,Robbie Hummel,robbie-hummel-1
2009-10,Tennessee State,OVC,32,28,873,18.8,0.525,0.487,0.307,0.252,352,9.5,19.4,14.1,10.1,2.3,4.5,16.8,24,1.2,1,2.2,0.102,,,,Robert Covington,robert-covington-1
2010-11,Tennessee State,OVC,30,30,923,22.1,0.594,0.565,0.291,0.261,368,9.6,19.7,14.8,9.6,3,3.7,17.4,22.9,2.1,1.6,3.7,0.16,1.4,0.9,2.3,Robert Covington,robert-covington-1
2011-12,Tennessee State,OVC,33,32,1028,30.2,0.634,0.607,0.36,0.32,527,11.2,22.4,16.4,11.3,3,5.3,14.2,27.1,4.1,2,6.1,0.237,6.6,2.2,8.8,Robert Covington,robert-covington-1
2012-13,Tennessee State,OVC,23,21,712,27.9,0.564,0.503,0.35,0.384,364,10.9,20.4,15.6,10,4.1,5.9,13.9,28.1,2.3,1.3,3.7,0.205,3.6,2.9,6.6,Robert Covington,robert-covington-1
Career,Tennessee State,,118,111,3536,24.8,0.583,0.545,0.329,0.305,1611,10.3,20.6,15.2,10.3,3,4.8,15.5,25.5,9.8,5.9,15.7,0.177,4,1.9,6,Robert Covington,robert-covington-1
2002-03,Miami (FL),Big East,28,18,557,,0.492,0.449,0.332,0.219,,,,10.4,14.6,,0.7,14.8,21.3,0.3,0.9,1.2,0.088,,,,Robert Hite,robert-hite-1
2003-04,Miami (FL),Big East,30,29,913,,0.596,0.563,0.392,0.23,,,,7,14.4,,0.8,14.6,24.1,2.9,1.4,4.3,0.188,,,,Robert Hite,robert-hite-1
2004-05,Miami (FL),ACC,29,28,969,,0.535,0.501,0.441,0.191,,,,8.1,6.9,,0.5,8.1,25.7,1.9,1.4,3.3,0.136,,,,Robert Hite,robert-hite-1
2005-06,Miami (FL),ACC,34,34,1127,,0.573,0.546,0.464,0.195,,,,10.5,10.1,,0.7,10.1,25.3,3.1,1.9,5,0.179,,,,Robert Hite,robert-hite-1
Career,Miami (FL),,121,109,3566,,0.556,0.523,0.422,0.206,,,,8.9,11,,0.7,11.3,24.5,8.2,5.7,13.8,0.155,,,,Robert Hite,robert-hite-1
1988-89,Alabama,SEC,31,9,590,,0.469,0.438,0.07,0.319,,,,,,,,14.5,,,,,,,,,Robert Horry,robert-horry-1
1989-90,Alabama,SEC,35,34,1022,,0.571,0.538,0.333,0.296,,,,12.1,13.1,,4.9,16.1,23.2,,,,,,,,Robert Horry,robert-horry-1
1990-91,Alabama,SEC,33,30,959,,0.553,0.505,0.331,0.345,,,,,,,,17.7,,,,,,,,,Robert Horry,robert-horry-1
1991-92,Alabama,SEC,35,35,1185,,0.559,0.52,0.288,0.396,,,,,,,,17.1,,,,,,,,,Robert Horry,robert-horry-1
Career,Alabama,,134,108,3756,,0.548,0.51,0.279,0.344,,,,12.1,13.1,,4.9,16.6,23.2,,,,,,,,Robert Horry,robert-horry-1
2007-08,Gonzaga,WCC,29,10,269,,0.497,0.444,0,0.651,,,,11.3,4.6,,1.6,15.4,18.3,0.1,0.5,0.7,0.101,,,,Robert Sacre,robert-sacre-1
2008-09,Gonzaga,WCC,5,0,44,,0.694,0.714,0,1.143,,,,17.8,0,,3.6,15.6,14.8,0.1,0.1,0.3,0.261,,,,Robert Sacre,robert-sacre-1
2009-10,Gonzaga,WCC,34,33,859,19,0.563,0.528,0.004,0.739,338,9,14.7,12.1,4.5,1.5,7.7,18,22.2,1.4,1.7,3.2,0.147,,,,Robert Sacre,robert-sacre-1
2010-11,Gonzaga,WCC,35,35,906,24.4,0.582,0.488,0.004,0.7,435,11.9,16.6,14.4,8.7,1.7,8.2,16.6,25.1,2.8,1.9,4.7,0.206,1.7,5.8,7.5,Robert Sacre,robert-sacre-1
2011-12,Gonzaga,WCC,33,33,868,22.3,0.595,0.511,0.009,0.86,370,9.9,20.2,15.1,5.7,0.8,5.8,15.7,22.9,2.6,1.6,4.2,0.194,1.4,3.5,4.9,Robert Sacre,robert-sacre-1
Career,Gonzaga,,136,111,2946,22,0.575,0.504,0.005,0.756,1142,10.3,17.2,13.7,6.1,1.4,6.7,16.6,22.8,7.1,5.9,13,0.176,1.5,4.7,6.2,Robert Sacre,robert-sacre-1
1995-96,Michigan,Big Ten,22,,438,,0.558,0.554,0,0.419,,,,,,,,23,,1,1.6,2.6,0.238,,,,Robert Traylor,robert-traylor-1
1996-97,Michigan,Big Ten,35,,955,,0.54,0.556,0,0.515,,,,,,,,18.9,,1.9,2.7,4.6,0.193,,,,Robert Traylor,robert-traylor-1
1997-98,Michigan,Big Ten,34,,,,0.595,0.579,0.003,0.419,,,,,,,,,,3.4,2.7,6.1,,,,,Robert Traylor,robert-traylor-1
Career,Michigan,,91,,1393,,0.567,0.566,0.001,0.456,,,,,,,,20.1,,6.4,6.9,13.3,0.207,,,,Robert Traylor,robert-traylor-1
