SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER40_FG,PER40_FGA,PER40_FG%,PER40_2P,PER40_2PA,PER40_2P%,PER40_3P,PER40_3PA,PER40_3P%,PER40_FT,PER40_FTA,PER40_FT%,PER40_TRB,PER40_AST,PER40_STL,PER40_BLK,PER40_TOV,PER40_PF,PER40_PTS,PLAYER,SPORTS_REF_ID
2002-03,Villanova,Big East,31,5,785,5.1,13.8,0.37,3.2,7.3,0.434,1.9,6.5,0.299,3.6,4.7,0.761,4,2.3,1.6,0.2,3.6,3.7,15.7,Allan Ray,allan-ray-1
2003-04,Villanova,Big East,35,34,1216,6.7,15.2,0.438,3.8,7.9,0.481,2.9,7.3,0.392,3.8,4.7,0.792,4.4,3.2,1.1,0.2,2.9,3,20,Allan Ray,allan-ray-1
2004-05,Villanova,Big East,32,29,993,6.8,16.4,0.415,3.6,7.8,0.459,3.2,8.6,0.376,4.1,4.9,0.828,3.6,2.3,1.5,0.2,2.5,3.4,20.9,Allan Ray,allan-ray-1
2005-06,Villanova,Big East,32,32,1026,7.3,18.6,0.389,3.1,7.4,0.416,4.2,11.2,0.372,4.4,4.9,0.889,4.5,2.2,1.4,0.1,2.3,3,23,Allan Ray,allan-ray-1
Career,Villanova,,130,100,4020,6.5,16.1,0.407,3.4,7.6,0.451,3.1,8.5,0.367,4,4.8,0.82,4.2,2.5,1.4,0.2,2.8,3.2,20.1,Allan Ray,allan-ray-1
2010-11,California,Pac-10,31,31,1049,5.3,11.9,0.446,2.9,6,0.49,2.4,5.9,0.4,2.8,3.5,0.804,6.3,2.3,1.1,0.5,1.8,1.8,15.8,Allen Crabbe,allen-crabbe-1
2011-12,California,Pac-12,34,33,1158,6.2,14.3,0.431,3.3,7.2,0.464,2.9,7.2,0.399,2.6,3.1,0.843,6.7,2.5,0.6,0.7,1.8,1.7,17.8,Allen Crabbe,allen-crabbe-1
2012-13,California,Pac-12,33,33,1195,7.2,15.7,0.459,5.1,9.5,0.532,2.1,6.2,0.348,3.8,4.7,0.813,6.7,2.9,1.2,0.8,2.8,2.3,20.3,Allen Crabbe,allen-crabbe-1
Career,California,,98,97,3402,6.3,14.1,0.446,3.8,7.6,0.5,2.5,6.4,0.382,3.1,3.8,0.819,6.6,2.6,1,0.7,2.1,1.9,18.1,Allen Crabbe,allen-crabbe-1
1994-95,Georgetown,Big East,30,,966,8.4,21.5,0.39,7,15.3,0.455,1.4,6.3,0.232,7.1,10.4,0.688,4.1,5.5,3.7,0.2,5.5,3.2,25.4,Allen Iverson,allen-iverson-1
1995-96,Georgetown,Big East,37,37,1213,10.3,21.4,0.48,7.4,13.6,0.546,2.9,7.8,0.366,7.1,10.5,0.678,4.6,5.7,4.1,0.5,4.6,2.9,30.5,Allen Iverson,allen-iverson-1
